편의점에서 커피 한 잔 사오기|10
캠퍼스 한 바퀴 산책하기|15
도서관에서 잡지 훑어보기|20
학과 사무실에 들러 공지 확인하기|10
자판기 음료 뽑아서 벤치에서 쉬기|10
스트레칭하고 목 어깨 풀기|10
오늘 들은 수업 필기 정리하기|20
내일 수업 강의자료 미리 훑어보기|25
과제 마감일 정리해서 일정 세우기|15
밀린 이메일 읽고 답장하기|15
휴대폰 사진 정리하기|15
장학금 공모전 공고 찾아보기|20
도서관에서 책 한 권 빌려오기|20
읽던 책 한 챕터 읽기|30
학교 카페에서 디저트 먹기|25
친구랑 커피 마시며 수다 떨기|30
동아리방 들러서 얼굴 비추기|25
학식 미리 먹어두기|30
근처 편의점에서 간단히 요기하기|20
낮잠 자기|30
운동장 걷기 운동하기|30
헬스장에서 가볍게 운동하기|45
탁구장에서 한 게임 치기|30
당구장에서 한 게임 치기|45
노래방에서 몇 곡 부르기|30
PC방에서 게임 한 판 하기|45
보드게임 한 판 하기|40
학교 주변 카페 새로 뚫어보기|40
서점 구경하기|35
문구점에서 필기구 사기|20
은행 우체국 볼일 보기|25
머리 자르러 가기|40
기숙사 들러서 짐 놓고 오기|20
빨래 돌려놓고 오기|15
영어 단어 30개 외우기|25
코딩 문제 한 개 풀기|30
전공 강의 복습 영상 하나 보기|40
포트폴리오 이력서 한 줄 고치기|30
방 청소하고 책상 정리하기|25
멍하니 앉아서 아무것도 안 하기|15
